ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 757,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,55,,36.91,36.91,,Imaturo,
AMARELO,64,,42.95,42.95,,Pré-Maduro,
LARANJA,30,,20.13,,,Maduro,
MARROM,0,,0.00,20.13,,,
PRETA,0,,0.00,,,,
TOTAL,149,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 757,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,13,,9.22,9.22,,Imaturo,
AMARELO,62,,43.97,43.97,,Pré-Maduro,
LARANJA,26,,18.44,46.81,,Maduro,
MARROM,38,,26.95,,,,
PRETA,2,,1.42,,,,
TOTAL,141,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 757,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,10,,6.99,6.99,,Imaturo,,
AMARELO,29,,20.28,20.28,,Pré-Maduro,,
LARANJA,11,,7.69,72.73,,Maduro,,
MARROM,24,,16.78,,,,,
PRETA,69,,48.25,,,,,
TOTAL,143,,100.00,,,,,
,,,,,,,,
