ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 56,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,6,,6.19,6.19,,Imaturo,
AMARELO,37,,38.14,38.14,,Pré-Maduro,
LARANJA,28,,28.87,55.67,,Maduro,
MARROM,25,,25.77,,,,
PRETA,1,,1.03,,,,
TOTAL,97,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 56,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,,,0.00,0.00,,Imaturo,
AMARELO,28,,26.67,26.67,,Pré-Maduro,
LARANJA,40,,38.10,73.33,,Maduro,
MARROM,35,,33.33,,,,
PRETA,2,,1.90,,,,
TOTAL,105,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA - 56,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,16,,20.00,20.00,,Pré-Maduro,,
LARANJA,1,,1.25,80.00,,Maduro,,
MARROM,52,,65.00,,,,,
PRETA,11,,13.75,,,,,
TOTAL,80,,100.00,,,,,
