ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,19,,14.96,14.96,,Imaturo,
AMARELO,74,,58.27,58.27,,Pré-Maduro,
LARANJA,31,,24.41,,,Maduro,
MARROM,3,,2.36,26.77,,,
PRETA,0,,0.00,,,,
TOTAL,127,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 500,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,0,,0.00,0.00,,Imaturo,
AMARELO,33,,35.11,35.11,,Pré-Maduro,
LARANJA,30,,31.91,64.89,,Maduro,
MARROM,30,,31.91,,,,
PRETA,1,,1.06,,,,
TOTAL,94,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,25,,21.93,21.93,,Imaturo,
AMARELO,15,,13.16,13.16,,Pré-Maduro,
LARANJA,30,,26.32,64.91,,Maduro,
MARROM,44,,38.60,,,,
PRETA,0,,0.00,,,,
TOTAL,114,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,27,,30.00,30.00,,Pré-Maduro,,
LARANJA,19,,21.11,70.00,,Maduro,,
MARROM,26,,28.89,,,,,
PRETA,18,,20.00,,,,,
TOTAL,90,,100.00,,,,,
