ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,27,,22.88,22.88,,Imaturo,
AMARELO,68,,57.63,57.63,,Pré-Maduro,
LARANJA,21,,17.80,,,Maduro,
MARROM,2,,1.69,19.49,,,
PRETA,0,,0.00,,,,
TOTAL,118,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 121,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,15,,12.00,12.00,,Imaturo,
AMARELO,48,,38.40,38.40,,Pré-Maduro,
LARANJA,33,,26.40,49.60,,Maduro,
MARROM,29,,23.20,,,,
PRETA,0,,0.00,,,,
TOTAL,125,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,3,,5.08,5.08,,Imaturo,
AMARELO,16,,27.12,27.12,,Pré-Maduro,
LARANJA,19,,32.20,67.80,,Maduro,
MARROM,20,,33.90,,,,
PRETA,1,,1.69,,,,
TOTAL,59,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,26,,21.67,21.67,,Pré-Maduro,,
LARANJA,19,,15.83,78.33,,Maduro,,
MARROM,59,,49.17,,,,,
PRETA,16,,13.33,,,,,
TOTAL,120,,100.00,,,,,
,,,,,,,,
