ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 60,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,54,,35.53,35.53,,Imaturo,
AMARELO,79,,51.97,51.97,,Pré-Maduro,
LARANJA,19,,12.50,,,Maduro,
MARROM,0,,0.00,12.50,,,
PRETA,0,,0.00,,,,
TOTAL,152,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 60,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,23,,18.40,18.40,,Imaturo,
AMARELO,62,,49.60,49.60,,Pré-Maduro,
LARANJA,26,,20.80,32.00,,Maduro,
MARROM,14,,11.20,,,,
PRETA,0,,0.00,,,,
TOTAL,125,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 60,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,16,,11.94,11.94,,Imaturo,
AMARELO,28,,20.90,20.90,,Pré-Maduro,
LARANJA,49,,36.57,67.16,,Maduro,
MARROM,41,,30.60,,,,
PRETA,0,,0.00,,,,
TOTAL,134,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 60,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,12,,16.22,16.22,,Pré-Maduro,,
LARANJA,13,,17.57,83.78,,Maduro,,
MARROM,47,,63.51,,,,,
PRETA,2,,2.70,,,,,
TOTAL,74,,100.00,,,,,
,,,,,,,,
