ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,20,,16.67,16.67,,Imaturo,
AMARELO,93,,77.50,77.50,,Pré-Maduro,
LARANJA,7,,5.83,,,Maduro,
MARROM,0,,0.00,5.83,,,
PRETA,0,,0.00,,,,
TOTAL,120,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 08,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,14,,11.20,11.20,,Imaturo,
AMARELO,54,,43.20,43.20,,Pré-Maduro,
LARANJA,43,,34.40,45.60,,Maduro,
MARROM,13,,10.40,,,,
PRETA,1,,0.80,,,,
TOTAL,125,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,32,,29.36,29.36,,Imaturo,
AMARELO,14,,12.84,12.84,,Pré-Maduro,
LARANJA,31,,28.44,57.80,,Maduro,
MARROM,32,,29.36,,,,
PRETA,0,,0.00,,,,
TOTAL,109,,100.00,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,23,,18.70,18.70,,Pré-Maduro,,
LARANJA,9,,7.32,81.30,,Maduro,,
MARROM,91,,73.98,,,,,
PRETA,0,,0.00,,,,,
TOTAL,123,,100.00,,,,,
