ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,16,,8.84,8.84,,Imaturo,
AMARELO,90,,49.72,49.72,,Pré-Maduro,
LARANJA,45,,24.86,,,Maduro,
MARROM,30,,16.57,41.44,,,
PRETA,0,,0.00,,,,
TOTAL,181,, 100.00 ,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,8,,6.20,6.20,,Imaturo,
AMARELO,51,,39.53,39.53,,Pré-Maduro,
LARANJA,23,,17.83,54.26,,Maduro,
MARROM,42,,32.56,,,,
PRETA,5,,3.88,,,,
TOTAL,129,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 500,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,9,,7.38,7.38,,Imaturo,,
AMARELO,22,,18.03,18.03,,Pré-Maduro,,
LARANJA,19,,15.57,74.59,,Maduro,,
MARROM,69,,56.56,,,,,
PRETA,3,,2.46,,,,,
TOTAL,122,,100.00,,,,,
,,,,,,,,
