ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,16,,13.56,13.56,,Imaturo,
AMARELO,84,,71.19,71.19,,Pré-Maduro,
LARANJA,17,,14.41,,,Maduro,
MARROM,1,,0.85,15.25,,,
PRETA,,,0.00,,,,
TOTAL,118,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,18,,22.50,22.50,,Imaturo,
AMARELO,21,,26.25,26.25,,Pré-Maduro,
LARANJA,33,,41.25,51.25,,Maduro,
MARROM,7,,8.75,,,,
PRETA,1,,1.25,,,,
TOTAL,80,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 121,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,30,,24.79,24.79,,Pré-Maduro,,
LARANJA,40,,33.06,75.21,,Maduro,,
MARROM,49,,40.50,,,,,
PRETA,2,,1.65,,,,,
TOTAL,121,,100.00,,,,,
