ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 60,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,19,,12.93,12.93,,Imaturo,
AMARELO,111,,75.51,75.51,,Pré-Maduro,
LARANJA,16,,10.88,,,Maduro,
MARROM,1,,0.68,11.56,,,
PRETA,0,,0.00,,,,
TOTAL,147,, 100.00 ,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 60,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,25,,14.79,14.79,,Imaturo,
AMARELO,90,,53.25,53.25,,Pré-Maduro,
LARANJA,35,,20.71,31.95,,Maduro,
MARROM,18,,10.65,,,,
PRETA,1,,0.59,,,,
TOTAL,169,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 60,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,31,,32.29,32.29,,Pré-Maduro,,
LARANJA,39,,40.63,67.71,,Maduro,,
MARROM,25,,26.04,,,,,
PRETA,1,,1.04,,,,,
TOTAL,96,,100.00,,,,,
