ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 757,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,8,,6.56,6.56,,Imaturo,
AMARELO,90,,73.77,73.77,,Pré-Maduro,
LARANJA,12,,9.84,,,Maduro,
MARROM,12,,9.84,19.67,,,
PRETA,0,,0.00,,,,
TOTAL,122,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 757,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,34,,23.94,23.94,,Imaturo,
AMARELO,77,,54.23,54.23,,Pré-Maduro,
LARANJA,14,,9.86,21.83,,Maduro,
MARROM,16,,11.27,,,,
PRETA,1,,0.70,,,,
TOTAL,142,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 757,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,30,,28.30,28.30,,Pré-Maduro,,
LARANJA,23,,21.70,71.70,,Maduro,,
MARROM,44,,41.51,,,,,
PRETA,9,,8.49,,,,,
TOTAL,106,,100.00,,,,,
