ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 56,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,13,,8.13,8.13,,Imaturo,
AMARELO,100,,62.50,62.50,,Pré-Maduro,
LARANJA,33,,20.63,,,Maduro,
MARROM,14,,8.75,29.38,,,
PRETA,0,,0.00,,,,
TOTAL,160,, 100.00 ,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 56,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,33,,26.61,26.61,,Imaturo,
AMARELO,34,,27.42,27.42,,Pré-Maduro,
LARANJA,27,,21.77,45.97,,Maduro,
MARROM,30,,24.19,,,,
PRETA,0,,0.00,,,,
TOTAL,124,,100.00,,,,
,,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 56,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,26,,23.64,23.64,,Pré-Maduro,,
LARANJA,23,,20.91,76.36,,Maduro,,
MARROM,56,,50.91,,,,,
PRETA,5,,4.55,,,,,
TOTAL,110,,100.00,,,,,
