ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,16,,12.80,12.80,,Imaturo,
AMARELO,80,,64.00,64.00,,Pré-Maduro,
LARANJA,21,,16.80,,,Maduro,
MARROM,8,,6.40,23.20,,,
PRETA,0,,0.00,,,,
TOTAL,125,, 100.00 ,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,20,,17.09,17.09,,Imaturo,
AMARELO,57,,48.72,48.72,,Pré-Maduro,
LARANJA,17,,14.53,34.19,,Maduro,
MARROM,22,,18.80,,,,
PRETA,1,,0.85,,,,
TOTAL,117,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 08,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,36,,35.29,35.29,,Pré-Maduro,,
LARANJA,30,,29.41,64.71,,Maduro,,
MARROM,36,,35.29,,,,,
PRETA,0,,0.00,,,,,
TOTAL,102,,100.00,,,,,
